Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio,Title,Artist,BPM_manual
Familiar Happy,Latin Pop,https://open.spotify.com/intl-de/track/6r8k1vznHrzlEKYxL4dZEe?si=7f53dcbd39a94681,0.0,100.22975212744905,0.0,1.0,0.22412837,0.16556795,0.0,8052.033935505848,2965.09062143036,0.3700685950423362,1.0,100.0,La Isla Bonita,Madonna,100.0
Familiar Happy,Reggae,https://open.spotify.com/intl-de/track/7vggqxNKwd6xdRoYS0pQtM?si=01d461ad1d3d465f,0.0,148.481287289821,0.0,1.0,0.15811332,0.13414593,0.0,17637.439604539795,2730.8901738996956,0.4273061829918321,1.0,79.2887029288703,Three Little Birds,Bob Marley & The Wailers,74.0
Familiar Happy,R&B,https://open.spotify.com/intl-de/track/2vLaES21zwbX1Rnmj56Bbb?si=042c46a724e54739,0.0,112.24910307379037,0.0,1.0,0.3455103,0.15752862,0.0,7864.814097650252,2284.9854362178903,0.5910490765802129,0.5321415873631524,62.755102040816325,I'll Be Around,The Spinners,113.3
Familiar Happy,R&B,https://open.spotify.com/intl-de/track/3K7Q9PHUWPTaknlbFPThn2?si=1de67cdcb5bf4a43,0.0,121.23081810184732,0.0,1.0,0.20376989,0.1881692,0.0,10049.33145669004,3486.3000065413335,0.4087297406782212,1.0,72.29129662522203,Celebration,Kool & The Gang,121.2
Familiar Happy,Soul,https://open.spotify.com/intl-de/track/1JQ6Xm1JrvHfvAqhl5pwaA?si=1f8f52f46cbd4c37,0.0,132.16279282576866,3.832775e-13,1.0,0.15087269,0.13513778,130.19133070132747,7765.911713412734,1984.847767638257,0.666048758001554,0.8910177200839787,73.05699481865285,Easy,Commodores,132.4
Familiar Happy,Jazz-Rock,https://open.spotify.com/intl-de/track/1tjK9HhmpEfk0ijyIKsoUk?si=c0bee6f197dc4ad9,0.0,119.7037327746286,4.645761e-06,1.0,0.22376673,0.20304283,332.5510306825805,12238.260921775627,3582.23429758385,0.4586249618882409,0.5416782976944902,60.356347438752785,Hey Nineteen,Steely Dan,119.7
Familiar Happy,R&B,https://open.spotify.com/intl-de/track/3nFJbZCHP4d9vduKjJLdBL?si=7cd2f794312940b4,0.0,109.97757847533632,0.0,1.0,0.2552061,0.17429368,0.0,8608.970860058409,3223.375760550745,0.7270284332181316,0.6730516986503122,68.82352941176471,Never Too Much,Luther Vandross,110.2
Familiar Happy,R&B,https://open.spotify.com/intl-de/track/5rWyKJMaTXL0TArnJ8IGts?si=520550c116be4cc4,0.0,72.16282894736842,2.1155008e-08,1.0,0.26763594,0.15440892,661.2072959207627,8329.271500847995,1981.659679458602,0.6275656003386656,0.5198208071997596,62.79761904761905,Forever - Single Version,The Little Dippers,72.1
Familiar Happy,Pop Rock,https://open.spotify.com/intl-de/track/08o75xMKmGrKny6GsXrNJW?si=4b58eba089564fb2,0.0,124.583949704142,7.836989e-08,1.0,0.2089263,0.1764167,858.3031375073872,9454.462204054142,3720.823845245055,2.309075476190759,1.0,100.0,Little Lies,Fleetwood Mac,124.9
Familiar Happy,Gospel,https://open.spotify.com/intl-de/track/3NfxSdJnVdon1axzloJgba?si=627d995d2d014c27,0.0,132.66723096632504,5.1717866e-06,1.0,0.21283142,0.1241945,819.9596506346016,8598.03586743337,2259.413382856659,1.0002391603219007,0.7653949631394577,71.80094786729858,I Say a Little Prayer,Aretha Franklin,132.7
Familiar Happy,Pop Rock,https://open.spotify.com/intl-de/track/3Fzlg5r1IjhLk2qRw667od?si=0d198b1579204b5b,0.0,119.47319694026226,0.0,1.0,0.30637193,0.16443391,0.0,10239.381685985483,2286.8929285732547,0.3715451391064145,0.6108135650404791,69.55645161290323,Dancing in the Moonlight,Toploader,119.5
Familiar Happy,Pop,https://open.spotify.com/intl-de/track/2qSkIjg1o9h3YT9RAgYN75?si=af3d551c5c80410f,0.0,103.99148007496548,0.0,1.0,0.2534558,0.15140162,0.0,8542.578994505771,3551.833352698368,0.4947658050371723,1.0,84.01639344262296,Espresso,Sabrina Carpenter,104.0
Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/4N1B9DdnmMXJO8Mts5G3QE?si=3c8dc0bcf377476a,0.0,128.387131472613,0.0,1.0,0.29747894,0.16573079,0.0,8781.767542561414,3474.4392840067444,0.7042041788751836,0.4857002830626187,58.13953488372093,Sunday,Alber-K,128.3
Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/0PoUwYvKs4n36lSbVgHqjC?si=c2d68d8bff3b4b0e,0.0,123.99157269673704,0.0,1.0,0.19513893,0.15670156,0.0,7850.453703152967,1870.5926474049425,1.5858969802271556,1.0,100.0,Sun Is Rising,Thierry Von Der Warth,124.0
Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/3dudWvfW6hu6WlBf58M9m2?si=d9a10b0a200e4380,0.0,126.99725029726515,6.228936e-08,1.0,0.28772652,0.1607055,252.4132180811594,9167.90225352706,3389.2459397690673,0.4108326743745069,0.5097601753234063,61.43141153081511,Lullaby,C3DRIC,127.0
Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/45Q8FBzKZSIG5KsIe7VabG?si=83e20b11cacc4c9f,0.0,112.51013604829264,3.5743017e-07,1.0,0.1911411,0.14712119,156.79353722321878,9293.15094672894,2451.8162226272552,0.573081805203293,0.7615977279946174,63.39754816112084,Paradise,Thierry Von Der Warth,112.5
Unfamiliar Happy,Dance,https://open.spotify.com/intl-de/track/7AplbBlJuyQmKkliFy25Yf?si=2e97dfbefa834aff,0.0,120.22162953172204,3.824105e-07,1.0,0.20155272,0.17287606,349.06013681715785,8567.571518880588,2906.833394101013,0.602089753067537,0.4618823200761495,54.59882583170254,Chasing The Sun,C3DRIC,120.2
Unfamiliar Groovy,Disco House,https://open.spotify.com/intl-de/track/13qX3v31O0UBg59v3BC6fU?si=e13034bae8fa4959,0.0,128.41191066997519,0.0,1.0,0.21400822699069977,0.19040995836257935,0.0,8850.947822203249,4284.902464382014,0.47449085789512435,1.0,75.48500881834215,Can't Get Enough (Jazz N Groove Nu Disco Vocal),Soulsearcher,128.41191066997519
Unfamiliar Classic,Film Music,https://open.spotify.com/intl-de/track/3f0PZlTzwkqS1CJXvEKrHc?si=0e50255c65c34c2c,0.0,105.72289156626506,0.0,1.0,0.2417817860841751,0.149906188249588,0.0,9999.62120618731,2394.294973408987,1.013233425319434,0.5960381444711903,65.89958158995816,L'autre valse d'Amélie,Yann Tiersen,105.72289156626506
